"","chr","coordinate","strand"
"2152","chr2L",21755020,"+"
"2153","chr2L",21757903,"+"
"2154","chr2L",21763258,"-"
"2155","chr2L",21764728,"+"
"2156","chr2L",21770218,"-"
"2157","chr2L",21770494,"+"
"2158","chr2L",21777893,"-"
"2159","chr2L",21778443,"+"
"2160","chr2L",21781893,"+"
"2161","chr2L",21790225,"-"
"2162","chr2L",21792287,"-"
"2163","chr2L",21811693,"-"
"2164","chr2L",21863142,"-"
"2165","chr2L",21867181,"+"
"2166","chr2L",21867271,"+"
"2167","chr2L",21871154,"-"
"2168","chr2L",21889698,"-"
"2169","chr2L",21901273,"-"
"2170","chr2L",21901361,"+"
"2171","chr2L",21944836,"+"
"2172","chr2L",21946456,"+"
"2173","chr2L",21959808,"-"
"2174","chr2L",21970281,"+"
"2175","chr2L",21997156,"+"
"2176","chr2L",22006959,"+"
"2177","chr2L",22047097,"+"
"2178","chr2L",22085850,"+"
"2179","chr2L",22102754,"-"
"2180","chr2L",22104253,"-"
"2181","chr2L",22123988,"+"
"2182","chr2L",22130245,"-"
"2183","chr2L",22140017,"+"
"2184","chr2L",22142060,"+"
"2185","chr2L",22142150,"+"
"2186","chr2L",22142200,"+"
"2187","chr2L",22145335,"-"
"2188","chr2L",22146232,"+"
"2189","chr2L",22146665,"+"
"2190","chr2L",22161882,"+"
"2191","chr2L",22169387,"-"
"2192","chr2L",22200006,"+"
"2193","chr2L",22200007,"+"
"2194","chr2L",22205082,"-"
"2195","chr2L",22208472,"+"
"2196","chr2L",22232415,"-"
"2197","chr2L",22233667,"-"
"2198","chr2L",22233994,"-"
"2199","chr2L",22234227,"-"
"2200","chr2L",22273143,"-"
"2201","chr2L",22288725,"-"
"2202","chr2L",22289654,"-"
"2203","chr2L",22290259,"-"
"2204","chr2L",22290682,"-"
"2205","chr2L",22290802,"-"
"2206","chr2L",22293096,"-"
"2207","chr2L",22300511,"+"
"2208","chr2L",22301621,"+"
"2209","chr2L",22303646,"+"
"2210","chr2L",22328981,"+"
"2211","chr2L",22337573,"+"
"2212","chr2L",22339403,"-"
"2213","chr2L",22347781,"+"
"2214","chr2L",22354775,"+"
"2215","chr2L",22356927,"-"
"2216","chr2L",22385562,"-"
"2217","chr2L",22402977,"+"
"2218","chr2L",22445561,"+"
"2219","chr2L",22446907,"+"
"2220","chr2L",22512354,"+"
"2221","chr2L",22520519,"+"
"2222","chr2L",22524195,"+"
"2223","chr2L",22525527,"-"
"2224","chr2L",22530699,"-"
"2225","chr2L",22532137,"-"
"2226","chr2L",22533320,"+"
"2227","chr2L",22534530,"-"
"2228","chr2L",22536929,"+"
"2229","chr2L",22541520,"+"
"2230","chr2L",22545861,"+"
"2231","chr2L",22548506,"-"
"2232","chr2L",22562728,"-"
"2233","chr2L",22563601,"-"
"2234","chr2L",22571854,"+"
"2235","chr2L",22572930,"+"
"2236","chr2L",22580358,"+"
"2237","chr2L",22584149,"+"
"2238","chr2L",22587376,"+"
"2239","chr2L",22588810,"+"
"2240","chr2L",22589727,"+"
"2241","chr2L",22592670,"-"
"2242","chr2L",22614479,"+"
"2243","chr2L",22627994,"+"
"2244","chr2L",22628055,"-"
"2245","chr2L",22641210,"+"
"2246","chr2L",22643754,"-"
"2247","chr2L",22683612,"-"
"2248","chr2L",22711529,"-"
"2249","chr2L",22720458,"+"
"2250","chr2L",22747494,"-"
"2251","chr2L",22749891,"+"
"2252","chr2L",22753441,"-"
"2253","chr2L",22763848,"+"
"2254","chr2L",22766824,"-"
"2255","chr2L",22767499,"+"
"2256","chr2L",22768865,"+"
"2257","chr2L",22769244,"-"
"2258","chr2L",22771144,"-"
"2259","chr2L",22775158,"-"
"2260","chr2L",22788343,"-"
"2261","chr2L",22900879,"-"
"2262","chr2L",22930881,"+"
"2263","chr2L",22935378,"+"
"2264","chr2L",22937918,"+"
"2265","chr2L",22940996,"-"
"2266","chr2L",22946290,"+"
"2267","chr2L",22951910,"+"
"2268","chr2L",22959043,"+"
"2269","chr2L",22962936,"-"
"2270","chr2L",22966385,"+"
"2271","chr2L",22985908,"-"
"2272","chr2L",22998951,"-"
"2273","chr2L",23016504,"-"
"2274","chr2L",23039744,"-"
"2275","chr2L",23053943,"+"
"2276","chr2L",23059732,"+"
"2277","chr2L",23062195,"-"
"2278","chr2L",23067049,"-"
"2279","chr2L",23085078,"-"
"2280","chr2L",23086677,"+"
"2281","chr2L",23088698,"-"
"2282","chr2L",23107984,"-"
"2283","chr2L",23118698,"+"
"2284","chr2L",23184022,"+"
"2285","chr2L",23185119,"+"
"2286","chr2L",23188903,"+"
"2287","chr2L",23189887,"+"
"2288","chr2L",23198731,"+"
"2289","chr2L",23201358,"-"
"2290","chr2L",23204029,"+"
"2291","chr2L",23209383,"+"
"2292","chr2L",23215570,"+"
"2293","chr2L",23224414,"-"
"2294","chr2L",23225248,"+"
"2295","chr2L",23247403,"-"
"2296","chr2L",23252093,"-"
"2297","chr2L",23256116,"-"
"2298","chr2L",23282562,"-"
"2299","chr2L",23286489,"+"
"2300","chr2L",23290783,"-"
"2301","chr2L",23290879,"-"
"2302","chr2L",23291133,"+"
"2303","chr2L",23291673,"-"
"2304","chr2L",23292881,"-"
"2305","chr2L",23305287,"-"
"2306","chr2L",23312217,"+"
"2307","chr2L",23327286,"+"
"2308","chr2L",23333122,"-"
"2309","chr2L",23345786,"-"
"2310","chr2L",23349045,"+"
"2311","chr2L",23370895,"-"
"2312","chr2L",23371664,"-"
"2313","chr2L",23373428,"-"
"2314","chr2L",23399608,"-"
"2315","chr2L",23405488,"-"
"2316","chr2L",23410894,"+"
"2317","chr2L",23426560,"+"
"2318","chr2L",23428825,"+"
"2319","chr2L",23436471,"-"
"2320","chr2L",23452849,"-"
"2321","chr2L",23456242,"-"
"2322","chr2L",23468610,"+"
"2323","chr2L",23483486,"-"
"2324","chr2L",23502199,"+"
"2325","chr2R",13206,"+"
"2326","chr2R",21465,"-"
"2327","chr2R",22807,"-"
"2328","chr2R",33240,"-"
"2329","chr2R",33454,"-"
"2330","chr2R",58112,"+"
"2331","chr2R",59260,"+"
"2332","chr2R",74553,"-"
"2333","chr2R",79412,"+"
"2334","chr2R",84721,"+"
"2335","chr2R",101996,"-"
"2336","chr2R",111259,"-"
"2337","chr2R",114247,"+"
"2338","chr2R",115229,"-"
"2339","chr2R",125104,"-"
"2340","chr2R",128757,"-"
"2341","chr2R",137680,"+"
"2342","chr2R",147942,"-"
"2343","chr2R",148211,"-"
"2344","chr2R",149049,"+"
"2345","chr2R",160851,"-"
"2346","chr2R",163157,"-"
"2347","chr2R",239491,"+"
"2348","chr2R",263713,"+"
"2349","chr2R",280640,"+"
"2350","chr2R",289261,"+"
"2351","chr2R",300937,"+"
"2352","chr2R",320377,"+"
"2353","chr2R",324634,"-"
"2354","chr2R",329241,"-"
"2355","chr2R",338220,"-"
"2356","chr2R",348079,"+"
"2357","chr2R",360031,"-"
"2358","chr2R",364716,"-"
"2359","chr2R",368266,"-"
"2360","chr2R",387182,"-"
"2361","chr2R",406751,"+"
"2362","chr2R",407839,"+"
"2363","chr2R",409008,"+"
"2364","chr2R",409243,"+"
"2365","chr2R",409352,"+"
"2366","chr2R",409956,"+"
"2367","chr2R",410906,"-"
"2368","chr2R",411530,"-"
"2369","chr2R",411669,"+"
"2370","chr2R",411716,"-"
"2371","chr2R",411995,"-"
"2372","chr2R",412835,"+"
"2373","chr2R",442810,"+"
"2374","chr2R",443692,"+"
"2375","chr2R",449786,"-"
"2376","chr2R",455757,"+"
"2377","chr2R",462768,"+"
"2378","chr2R",463721,"+"
"2379","chr2R",465835,"-"
"2380","chr2R",492985,"+"
"2381","chr2R",511158,"+"
"2382","chr2R",514427,"+"
"2383","chr2R",534238,"-"
"2384","chr2R",564504,"-"
"2385","chr2R",569025,"-"
"2386","chr2R",569543,"+"
"2387","chr2R",573207,"-"
"2388","chr2R",574366,"-"
"2389","chr2R",583041,"+"
"2390","chr2R",593278,"+"
"2391","chr2R",636036,"-"
"2392","chr2R",668227,"-"
"2393","chr2R",672308,"-"
"2394","chr2R",672614,"-"
"2395","chr2R",720610,"+"
"2396","chr2R",728232,"-"
"2397","chr2R",768962,"+"
"2398","chr2R",770604,"-"
"2399","chr2R",775937,"+"
"2400","chr2R",797894,"-"
"2401","chr2R",873972,"+"
"2402","chr2R",876059,"+"
"2403","chr2R",890102,"-"
"2404","chr2R",890555,"-"
"2405","chr2R",891970,"-"
"2406","chr2R",894884,"-"
"2407","chr2R",899133,"-"
"2408","chr2R",899769,"-"
"2409","chr2R",907249,"-"
"2410","chr2R",910434,"+"
"2411","chr2R",914508,"+"
"2412","chr2R",917702,"+"
"2413","chr2R",932695,"-"
"2414","chr2R",940514,"+"
"2415","chr2R",955116,"+"
"2416","chr2R",956417,"+"
"2417","chr2R",959556,"+"
"2418","chr2R",970981,"+"
"2419","chr2R",973033,"+"
"2420","chr2R",980727,"+"
"2421","chr2R",983485,"+"
"2422","chr2R",985364,"-"
"2423","chr2R",986572,"-"
"2424","chr2R",1002572,"+"
"2425","chr2R",1024574,"+"
"2426","chr2R",1025730,"-"
"2427","chr2R",1069073,"-"
"2428","chr2R",1075500,"-"
"2429","chr2R",1075866,"-"
"2430","chr2R",1097931,"+"
"2431","chr2R",1098363,"+"
"2432","chr2R",1110207,"-"
"2433","chr2R",1132229,"+"
"2434","chr2R",1165321,"+"
"2435","chr2R",1167294,"+"
"2436","chr2R",1172027,"+"
"2437","chr2R",1172714,"+"
"2438","chr2R",1185433,"-"
"2439","chr2R",1187106,"+"
"2440","chr2R",1208446,"+"
"2441","chr2R",1212743,"+"
"2442","chr2R",1231632,"+"
"2443","chr2R",1240892,"-"
"2444","chr2R",1254059,"-"
"2445","chr2R",1255424,"+"
"2446","chr2R",1258751,"-"
"2447","chr2R",1260579,"-"
"2448","chr2R",1266051,"+"
"2449","chr2R",1269257,"+"
"2450","chr2R",1274652,"-"
"2451","chr2R",1292850,"-"
"2452","chr2R",1308821,"+"
"2453","chr2R",1310116,"+"
"2454","chr2R",1319983,"+"
"2455","chr2R",1322920,"+"
"2456","chr2R",1341802,"-"
"2457","chr2R",1342087,"+"
"2458","chr2R",1346566,"+"
"2459","chr2R",1351218,"-"
"2460","chr2R",1354182,"+"
"2461","chr2R",1359460,"+"
"2462","chr2R",1367646,"+"
"2463","chr2R",1380214,"+"
"2464","chr2R",1423655,"+"
"2465","chr2R",1437356,"-"
"2466","chr2R",1451280,"-"
"2467","chr2R",1494015,"+"
"2468","chr2R",1495259,"-"
"2469","chr2R",1496329,"+"
"2470","chr2R",1497192,"+"
"2471","chr2R",1500678,"-"
"2472","chr2R",1501947,"-"
"2473","chr2R",1513001,"-"
"2474","chr2R",1518148,"-"
"2475","chr2R",1522184,"+"
"2476","chr2R",1522394,"-"
"2477","chr2R",1522504,"-"
"2478","chr2R",1522805,"+"
"2479","chr2R",1526416,"-"
"2480","chr2R",1540811,"+"
"2481","chr2R",1545432,"+"
"2482","chr2R",1548510,"-"
"2483","chr2R",1558877,"-"
"2484","chr2R",1561873,"-"
"2485","chr2R",1564116,"+"
"2486","chr2R",1582487,"+"
"2487","chr2R",1609583,"+"
"2488","chr2R",1615292,"+"
"2489","chr2R",1626875,"-"
"2490","chr2R",1636248,"+"
"2491","chr2R",1636527,"-"
"2492","chr2R",1646612,"+"
"2493","chr2R",1656276,"-"
"2494","chr2R",1657120,"+"
"2495","chr2R",1674548,"+"
"2496","chr2R",1677703,"+"
"2497","chr2R",1680790,"-"
"2498","chr2R",1701679,"+"
"2499","chr2R",1704520,"+"
"2500","chr2R",1720873,"-"
"2501","chr2R",1722764,"-"
"2502","chr2R",1736060,"+"
"2503","chr2R",1738601,"+"
"2504","chr2R",1789605,"+"
"2505","chr2R",1793752,"-"
"2506","chr2R",1841206,"+"
"2507","chr2R",1861253,"+"
"2508","chr2R",1888885,"+"
"2509","chr2R",1922697,"-"
"2510","chr2R",1929963,"-"
"2511","chr2R",1934108,"+"
"2512","chr2R",1937264,"-"
"2513","chr2R",1937975,"+"
"2514","chr2R",1943364,"+"
"2515","chr2R",1988535,"+"
"2516","chr2R",1992160,"+"
"2517","chr2R",1996204,"+"
"2518","chr2R",1997217,"-"
"2519","chr2R",2001220,"+"
"2520","chr2R",2017758,"+"
"2521","chr2R",2032363,"+"
"2522","chr2R",2034141,"+"
"2523","chr2R",2049210,"-"
"2524","chr2R",2066349,"+"
"2525","chr2R",2069003,"-"
"2526","chr2R",2071423,"+"
"2527","chr2R",2079033,"-"
"2528","chr2R",2099021,"-"
"2529","chr2R",2108734,"+"
"2530","chr2R",2112042,"+"
"2531","chr2R",2121505,"-"
"2532","chr2R",2121942,"-"
"2533","chr2R",2122676,"+"
"2534","chr2R",2126181,"+"
"2535","chr2R",2129446,"+"
"2536","chr2R",2135307,"-"
"2537","chr2R",2158638,"-"
"2538","chr2R",2165210,"+"
"2539","chr2R",2166633,"+"
"2540","chr2R",2168093,"+"
"2541","chr2R",2183519,"+"
"2542","chr2R",2190212,"+"
"2543","chr2R",2195323,"+"
"2544","chr2R",2219980,"+"
"2545","chr2R",2225705,"+"
"2546","chr2R",2232541,"-"
"2547","chr2R",2241874,"-"
"2548","chr2R",2247041,"-"
"2549","chr2R",2247305,"-"
"2550","chr2R",2248086,"-"
"2551","chr2R",2260736,"+"
"2552","chr2R",2269261,"+"
"2553","chr2R",2270469,"+"
"2554","chr2R",2279512,"-"
"2555","chr2R",2289944,"+"
"2556","chr2R",2291711,"+"
"2557","chr2R",2294617,"-"
"2558","chr2R",2301953,"-"
"2559","chr2R",2304308,"-"
"2560","chr2R",2309884,"-"
"2561","chr2R",2311633,"-"
"2562","chr2R",2313516,"-"
"2563","chr2R",2314323,"-"
"2564","chr2R",2320609,"-"
"2565","chr2R",2341125,"+"
"2566","chr2R",2351591,"+"
"2567","chr2R",2363022,"-"
"2568","chr2R",2367972,"-"
"2569","chr2R",2391242,"+"
"2570","chr2R",2397556,"+"
"2571","chr2R",2398345,"+"
"2572","chr2R",2404850,"-"
"2573","chr2R",2407909,"+"
"2574","chr2R",2415146,"+"
"2575","chr2R",2417827,"+"
"2576","chr2R",2421137,"+"
"2577","chr2R",2423544,"-"
"2578","chr2R",2430085,"+"
"2579","chr2R",2433882,"-"
"2580","chr2R",2439360,"-"
"2581","chr2R",2446416,"-"
"2582","chr2R",2448283,"-"
"2583","chr2R",2450749,"+"
"2584","chr2R",2484840,"+"
"2585","chr2R",2491358,"+"
"2586","chr2R",2498463,"-"
"2587","chr2R",2499502,"-"
"2588","chr2R",2501976,"+"
"2589","chr2R",2502088,"+"
"2590","chr2R",2506018,"+"
"2591","chr2R",2512106,"-"
"2592","chr2R",2518816,"+"
"2593","chr2R",2525166,"+"
"2594","chr2R",2531815,"+"
"2595","chr2R",2532875,"+"
"2596","chr2R",2542650,"-"
"2597","chr2R",2545367,"-"
"2598","chr2R",2547931,"+"
"2599","chr2R",2556284,"-"
"2600","chr2R",2570901,"-"
"2601","chr2R",2575718,"-"
"2602","chr2R",2584616,"-"
"2603","chr2R",2584664,"-"
"2604","chr2R",2592517,"-"
"2605","chr2R",2592606,"-"
"2606","chr2R",2607191,"-"
"2607","chr2R",2617746,"+"
"2608","chr2R",2626649,"-"
"2609","chr2R",2630008,"-"
"2610","chr2R",2635205,"-"
"2611","chr2R",2650910,"-"
"2612","chr2R",2654257,"-"
"2613","chr2R",2668561,"+"
"2614","chr2R",2686865,"-"
"2615","chr2R",2688546,"-"
"2616","chr2R",2694868,"+"
"2617","chr2R",2710354,"+"
"2618","chr2R",2713138,"+"
"2619","chr2R",2719362,"+"
"2620","chr2R",2748123,"+"
"2621","chr2R",2759391,"-"
"2622","chr2R",2759784,"-"
"2623","chr2R",2768329,"-"
"2624","chr2R",2770920,"+"
"2625","chr2R",2776121,"-"
"2626","chr2R",2776811,"+"
"2627","chr2R",2779715,"+"
"2628","chr2R",2780581,"+"
"2629","chr2R",2783158,"+"
"2630","chr2R",2826109,"+"
"2631","chr2R",2838116,"-"
"2632","chr2R",2841081,"-"
"2633","chr2R",2841500,"-"
"2634","chr2R",2852375,"+"
"2635","chr2R",2853838,"+"
"2636","chr2R",2858892,"+"
"2637","chr2R",2860874,"+"
"2638","chr2R",2874866,"-"
"2639","chr2R",2878140,"-"
"2640","chr2R",2896774,"-"
"2641","chr2R",2904459,"-"
"2642","chr2R",2925201,"+"
"2643","chr2R",2932262,"+"
"2644","chr2R",2953243,"+"
"2645","chr2R",2953775,"+"
"2646","chr2R",2966600,"-"
"2647","chr2R",2996780,"+"
"2648","chr2R",3000418,"+"
"2649","chr2R",3016552,"-"
"2650","chr2R",3035875,"-"
"2651","chr2R",3070242,"+"
"2652","chr2R",3072389,"+"
"2653","chr2R",3110449,"-"
"2654","chr2R",3132839,"+"
"2655","chr2R",3149237,"-"
"2656","chr2R",3158669,"-"
"2657","chr2R",3182284,"+"
"2658","chr2R",3186583,"+"
"2659","chr2R",3188567,"-"
"2660","chr2R",3200724,"-"
"2661","chr2R",3215326,"-"
"2662","chr2R",3224183,"+"
"2663","chr2R",3234424,"-"
"2664","chr2R",3286787,"+"
"2665","chr2R",3288808,"+"
"2666","chr2R",3292427,"+"
"2667","chr2R",3299868,"+"
"2668","chr2R",3320498,"-"
"2669","chr2R",3321395,"-"
"2670","chr2R",3336816,"+"
"2671","chr2R",3356964,"-"
"2672","chr2R",3360165,"+"
"2673","chr2R",3360726,"-"
"2674","chr2R",3362466,"+"
"2675","chr2R",3380913,"+"
"2676","chr2R",3381778,"+"
"2677","chr2R",3383707,"-"
"2678","chr2R",3393885,"-"
"2679","chr2R",3400468,"+"
"2680","chr2R",3468065,"-"
"2681","chr2R",3477425,"-"
"2682","chr2R",3496289,"+"
"2683","chr2R",3500588,"+"
"2684","chr2R",3502843,"+"
"2685","chr2R",3510480,"+"
"2686","chr2R",3511786,"+"
"2687","chr2R",3512403,"+"
"2688","chr2R",3517567,"-"
"2689","chr2R",3517591,"-"
"2690","chr2R",3521526,"-"
"2691","chr2R",3526732,"-"
"2692","chr2R",3537081,"+"
"2693","chr2R",3545965,"-"
"2694","chr2R",3560355,"-"
"2695","chr2R",3560465,"+"
"2696","chr2R",3572333,"-"
"2697","chr2R",3592267,"-"
"2698","chr2R",3592661,"-"
"2699","chr2R",3597838,"-"
"2700","chr2R",3611830,"+"
"2701","chr2R",3623945,"+"
"2702","chr2R",3632143,"-"
"2703","chr2R",3641154,"+"
"2704","chr2R",3658918,"+"
"2705","chr2R",3661733,"+"
"2706","chr2R",3662610,"+"
"2707","chr2R",3668551,"-"
"2708","chr2R",3674762,"-"
"2709","chr2R",3682660,"+"
"2710","chr2R",3683196,"-"
"2711","chr2R",3683263,"-"
"2712","chr2R",3683950,"-"
"2713","chr2R",3684398,"+"
"2714","chr2R",3685286,"-"
"2715","chr2R",3687831,"-"
"2716","chr2R",3719814,"-"
"2717","chr2R",3720502,"-"
"2718","chr2R",3721491,"-"
"2719","chr2R",3722197,"+"
"2720","chr2R",3723370,"-"
"2721","chr2R",3724882,"+"
"2722","chr2R",3727091,"+"
"2723","chr2R",3730875,"-"
"2724","chr2R",3731499,"+"
"2725","chr2R",3733757,"-"
"2726","chr2R",3733769,"-"
"2727","chr2R",3734234,"-"
"2728","chr2R",3734452,"-"
"2729","chr2R",3735153,"-"
"2730","chr2R",3735446,"-"
"2731","chr2R",3737085,"-"
"2732","chr2R",3737321,"-"
"2733","chr2R",3740156,"+"
"2734","chr2R",3743133,"-"
"2735","chr2R",3791312,"+"
"2736","chr2R",3829250,"-"
"2737","chr2R",3872705,"+"
"2738","chr2R",3873437,"-"
"2739","chr2R",3889404,"+"
"2740","chr2R",3896419,"-"
"2741","chr2R",3898164,"-"
"2742","chr2R",3902111,"+"
"2743","chr2R",3916009,"+"
"2744","chr2R",3925392,"+"
"2745","chr2R",3934200,"-"
"2746","chr2R",3938624,"+"
"2747","chr2R",3944049,"+"
"2748","chr2R",3944668,"+"
"2749","chr2R",3948220,"+"
"2750","chr2R",3949448,"+"
"2751","chr2R",3952392,"+"
"2752","chr2R",3952986,"-"
"2753","chr2R",3953620,"+"
"2754","chr2R",3954992,"+"
"2755","chr2R",3963146,"+"
"2756","chr2R",3979581,"+"
"2757","chr2R",3985972,"+"
"2758","chr2R",4008017,"-"
"2759","chr2R",4011530,"+"
"2760","chr2R",4016580,"+"
"2761","chr2R",4023935,"-"
"2762","chr2R",4038349,"-"
"2763","chr2R",4040947,"-"
"2764","chr2R",4041497,"-"
"2765","chr2R",4058202,"+"
"2766","chr2R",4079429,"-"
"2767","chr2R",4095699,"-"
"2768","chr2R",4100620,"-"
"2769","chr2R",4106020,"-"
"2770","chr2R",4111177,"+"
"2771","chr2R",4120342,"+"
"2772","chr2R",4128055,"-"
"2773","chr2R",4129063,"+"
"2774","chr2R",4135828,"-"
"2775","chr2R",4141097,"+"
"2776","chr2R",4145886,"-"
"2777","chr2R",4148837,"-"
"2778","chr2R",4149544,"-"
"2779","chr2R",4152583,"-"
"2780","chr2R",4170449,"+"
"2781","chr2R",4170554,"+"
"2782","chr2R",4179269,"-"
"2783","chr2R",4190093,"+"
"2784","chr2R",4225198,"-"
"2785","chr2R",4241229,"+"
"2786","chr2R",4249259,"-"
"2787","chr2R",4249269,"-"
"2788","chr2R",4254220,"+"
"2789","chr2R",4264022,"+"
"2790","chr2R",4267460,"+"
"2791","chr2R",4272012,"-"
"2792","chr2R",4275998,"-"
"2793","chr2R",4279587,"-"
"2794","chr2R",4279790,"-"
"2795","chr2R",4279900,"-"
"2796","chr2R",4302310,"-"
"2797","chr2R",4310373,"+"
"2798","chr2R",4322617,"-"
"2799","chr2R",4328407,"+"
"2800","chr2R",4340282,"+"
"2801","chr2R",4355410,"+"
"2802","chr2R",4359495,"+"
"2803","chr2R",4386051,"+"
"2804","chr2R",4389309,"+"
"2805","chr2R",4389690,"+"
"2806","chr2R",4399950,"+"
"2807","chr2R",4429547,"-"
"2808","chr2R",4431708,"+"
"2809","chr2R",4437283,"-"
"2810","chr2R",4442808,"+"
"2811","chr2R",4445854,"+"
"2812","chr2R",4449401,"-"
"2813","chr2R",4458045,"-"
"2814","chr2R",4484130,"+"
"2815","chr2R",4485338,"+"
"2816","chr2R",4493332,"+"
"2817","chr2R",4496556,"+"
"2818","chr2R",4498023,"+"
"2819","chr2R",4522859,"+"
"2820","chr2R",4522968,"+"
"2821","chr2R",4522996,"+"
"2822","chr2R",4531527,"-"
"2823","chr2R",4533537,"-"
"2824","chr2R",4544723,"+"
"2825","chr2R",4551160,"+"
"2826","chr2R",4563388,"+"
"2827","chr2R",4563677,"-"
"2828","chr2R",4573942,"+"
"2829","chr2R",4583143,"+"
"2830","chr2R",4595815,"+"
"2831","chr2R",4602661,"-"
"2832","chr2R",4614045,"+"
"2833","chr2R",4619745,"+"
"2834","chr2R",4624592,"+"
"2835","chr2R",4647128,"+"
"2836","chr2R",4654753,"-"
"2837","chr2R",4656732,"+"
"2838","chr2R",4662076,"+"
"2839","chr2R",4664821,"-"
"2840","chr2R",4668338,"+"
"2841","chr2R",4670421,"+"
"2842","chr2R",4679711,"-"
"2843","chr2R",4682747,"+"
"2844","chr2R",4683426,"+"
"2845","chr2R",4684820,"-"
"2846","chr2R",4694970,"-"
"2847","chr2R",4698500,"-"
"2848","chr2R",4721649,"-"
"2849","chr2R",4742948,"+"
"2850","chr2R",4743324,"-"
"2851","chr2R",4744477,"+"
"2852","chr2R",4752385,"-"
"2853","chr2R",4754154,"-"
"2854","chr2R",4754175,"+"
"2855","chr2R",4754306,"-"
"2856","chr2R",4770731,"+"
"2857","chr2R",4771677,"+"
"2858","chr2R",4814222,"-"
"2859","chr2R",4816087,"-"
"2860","chr2R",4820019,"+"
"2861","chr2R",4820933,"+"
"2862","chr2R",4821087,"+"
"2863","chr2R",4822887,"-"
"2864","chr2R",4843368,"+"
"2865","chr2R",4846581,"+"
"2866","chr2R",4849453,"-"
"2867","chr2R",4857192,"+"
"2868","chr2R",4865995,"+"
"2869","chr2R",4867769,"-"
"2870","chr2R",4868994,"+"
"2871","chr2R",4898350,"+"
"2872","chr2R",4905375,"-"
"2873","chr2R",4913454,"+"
"2874","chr2R",4969008,"-"
"2875","chr2R",4971593,"+"
"2876","chr2R",4997839,"+"
"2877","chr2R",5011305,"+"
"2878","chr2R",5018124,"-"
"2879","chr2R",5034270,"-"
"2880","chr2R",5034829,"-"
"2881","chr2R",5037871,"-"
"2882","chr2R",5049831,"+"
"2883","chr2R",5071228,"+"
"2884","chr2R",5079879,"-"
"2885","chr2R",5082338,"-"
"2886","chr2R",5101730,"-"
"2887","chr2R",5114068,"-"
"2888","chr2R",5117535,"-"
"2889","chr2R",5126721,"+"
"2890","chr2R",5135131,"-"
"2891","chr2R",5147231,"-"
"2892","chr2R",5149983,"+"
"2893","chr2R",5156771,"+"
"2894","chr2R",5168032,"+"
"2895","chr2R",5168403,"-"
"2896","chr2R",5170974,"+"
"2897","chr2R",5174142,"-"
"2898","chr2R",5197024,"-"
"2899","chr2R",5214689,"-"
"2900","chr2R",5227861,"-"
"2901","chr2R",5229465,"-"
"2902","chr2R",5232253,"-"
"2903","chr2R",5233102,"+"
"2904","chr2R",5233700,"+"
"2905","chr2R",5236837,"+"
"2906","chr2R",5254014,"+"
"2907","chr2R",5260436,"-"
"2908","chr2R",5274296,"-"
"2909","chr2R",5282985,"-"
"2910","chr2R",5299934,"-"
"2911","chr2R",5304350,"-"
"2912","chr2R",5319408,"+"
"2913","chr2R",5323105,"+"
"2914","chr2R",5327576,"+"
"2915","chr2R",5347658,"+"
"2916","chr2R",5354152,"+"
"2917","chr2R",5359919,"+"
"2918","chr2R",5370996,"+"
"2919","chr2R",5375594,"+"
"2920","chr2R",5391116,"-"
"2921","chr2R",5391420,"-"
"2922","chr2R",5392650,"-"
"2923","chr2R",5394809,"-"
"2924","chr2R",5454027,"-"
"2925","chr2R",5454596,"-"
"2926","chr2R",5454678,"-"
"2927","chr2R",5489463,"+"
"2928","chr2R",5524176,"-"
"2929","chr2R",5525702,"-"
"2930","chr2R",5538776,"-"
"2931","chr2R",5544025,"+"
"2932","chr2R",5545071,"-"
"2933","chr2R",5545658,"+"
"2934","chr2R",5550127,"-"
"2935","chr2R",5555880,"+"
"2936","chr2R",5564275,"+"
"2937","chr2R",5573670,"+"
"2938","chr2R",5579997,"+"
"2939","chr2R",5581191,"-"
"2940","chr2R",5597154,"-"
"2941","chr2R",5598545,"+"
"2942","chr2R",5601641,"-"
"2943","chr2R",5605750,"+"
"2944","chr2R",5609480,"+"
"2945","chr2R",5609771,"+"
"2946","chr2R",5611235,"-"
"2947","chr2R",5613815,"+"
"2948","chr2R",5615482,"+"
"2949","chr2R",5618236,"-"
"2950","chr2R",5623963,"+"
"2951","chr2R",5628510,"+"
"2952","chr2R",5632506,"+"
"2953","chr2R",5653346,"-"
"2954","chr2R",5654485,"-"
"2955","chr2R",5656480,"+"
"2956","chr2R",5662673,"+"
"2957","chr2R",5673312,"+"
"2958","chr2R",5729294,"+"
"2959","chr2R",5762826,"+"
"2960","chr2R",5768567,"-"
"2961","chr2R",5773564,"-"
"2962","chr2R",5792256,"+"
"2963","chr2R",5792259,"+"
"2964","chr2R",5792271,"+"
"2965","chr2R",5793608,"+"
"2966","chr2R",5810530,"-"
"2967","chr2R",5849660,"-"
"2968","chr2R",5850920,"-"
"2969","chr2R",5861767,"-"
"2970","chr2R",5876854,"+"
"2971","chr2R",5891672,"+"
"2972","chr2R",5901429,"-"
"2973","chr2R",5910274,"-"
"2974","chr2R",5911565,"-"
"2975","chr2R",5922496,"-"
"2976","chr2R",5933003,"+"
"2977","chr2R",5949531,"-"
"2978","chr2R",5959091,"-"
"2979","chr2R",5964270,"-"
