chr,coordinate,strand,IPDRatio,frac,fracLow,fracUp
Ecoli,1189452,-,5.6,1,0.868,1
Ecoli,1189664,+,7.71,0.935,0.79,1
Ecoli,1189665,-,4.26,0.974,0.828,1
Ecoli,1190005,+,4.72,1,0.951,1
Ecoli,1190006,-,5.77,0.966,0.757,1
Ecoli,1190043,+,4.99,1,0.931,1
Ecoli,1190044,-,5.97,1,1,1
Ecoli,1190295,+,6.08,1,1,1
Ecoli,1190836,+,4.18,1,1,1
Ecoli,1190850,+,5.27,1,1,1
Ecoli,1191073,+,6.47,1,1,1
Ecoli,1191074,-,5.74,1,0.957,1
Ecoli,1191181,+,5.66,1,0.91,1
Ecoli,1191182,-,4.34,1,0.885,1
Ecoli,1191244,+,6.7,0.997,0.85,1
Ecoli,1191245,-,5.87,0.963,0.828,1
Ecoli,1191379,+,9.07,1,0.938,1
Ecoli,1191380,-,5.1,0.896,0.762,1
Ecoli,1191519,+,6.36,1,0.856,1
Ecoli,1191520,-,4.73,0.985,0.861,1
Ecoli,1191559,+,6.58,0.998,0.878,1
Ecoli,1191560,-,5.02,0.952,0.74,0.992
Ecoli,1191667,+,7.01,0.998,0.833,1
Ecoli,1191668,-,5.85,1,0.935,1
Ecoli,1191829,+,7.56,0.993,0.942,1
Ecoli,1191830,-,5.51,1,0.974,1
Ecoli,1191989,+,6.92,1,0.986,1
Ecoli,1191990,-,4.75,1,0.859,1
Ecoli,1192294,+,4.89,0.986,0.812,1
Ecoli,1192295,-,6.97,1,1,1
Ecoli,1192300,-,1.94,0.523,0.421,0.615
Ecoli,1192793,+,5.69,1,0.961,1
Ecoli,1192794,-,4.72,0.986,0.841,1
Ecoli,1192886,+,5.9,1,0.941,1
Ecoli,1192887,-,5.6,1,0.961,1
Ecoli,1193015,-,2.89,0.995,0.995,0.998
Ecoli,1193222,+,5.05,0.958,0.801,1
Ecoli,1193223,-,5.77,0.82,0.649,0.947
Ecoli,1193457,+,5.46,0.949,0.783,1
Ecoli,1193458,-,6.8,1,1,1
Ecoli,1193612,+,6.4,1,0.941,1
Ecoli,1193613,-,5.84,0.979,0.837,1
Ecoli,1193777,+,6.08,1,0.985,1
Ecoli,1193778,-,5.46,1,0.967,1
Ecoli,1194275,-,4.09,0.986,0.852,1
Ecoli,1194443,+,9.4,1,0.924,1
Ecoli,1194444,-,4.23,0.96,0.781,1
Ecoli,1194827,+,5.58,1,0.957,1
Ecoli,1194828,-,4.68,0.934,0.784,1
Ecoli,1195162,+,5.71,1,0.789,1
Ecoli,1195163,-,7.01,1,1,1
Ecoli,1195391,+,6.43,1,1,1
Ecoli,1195392,-,6.15,0.954,0.824,1
Ecoli,1195490,+,6.43,0.967,0.751,1
Ecoli,1195491,-,5.74,1,0.901,1
Ecoli,1195762,+,2.98,0.999,0.79,1
Ecoli,1195763,-,7.03,1,0.954,1
Ecoli,1195784,+,5.98,1,0.824,1
Ecoli,1195785,-,5.83,1,0.842,1
Ecoli,1195894,+,4.77,1,0.898,1
Ecoli,1195895,-,6.22,0.998,0.933,1
Ecoli,1195946,-,5.07,1,0.932,1
Ecoli,1195987,+,4.84,1,0.856,1
Ecoli,1195988,-,5.72,1,0.965,1
Ecoli,1196356,+,4.35,0.914,0.73,1
Ecoli,1196357,-,4.82,0.897,0.745,0.989
Ecoli,1198077,-,4.47,0.957,0.805,1
Ecoli,1198367,+,4.71,0.882,0.706,1
Ecoli,1198368,-,6.33,1,0.898,1
Ecoli,1198771,+,6.72,0.918,0.783,1
Ecoli,1198772,-,5.95,1,0.881,1
Ecoli,1199551,+,5.47,0.997,0.926,1
Ecoli,1199712,+,5.68,1,0.894,1
Ecoli,1199713,-,4.39,0.991,0.855,0.998
Ecoli,1199727,+,6.47,1,1,1
Ecoli,1199728,-,6.96,1,0.893,1
Ecoli,1200085,-,5.72,0.877,0.698,0.989
Ecoli,1200424,+,5.28,1,1,1
Ecoli,1200425,-,5.35,0.913,0.753,1
Ecoli,1200526,+,4.09,0.905,0.724,1
Ecoli,1200527,-,8.02,1,0.993,1
Ecoli,1200540,+,4.61,1,0.993,1
Ecoli,1200541,-,5.53,0.918,0.771,1
Ecoli,1200586,+,7.18,1,0.979,1
Ecoli,1200587,-,6.74,0.998,0.926,1
Ecoli,1201038,+,3.89,1,0.829,1
Ecoli,1201039,-,5.39,0.966,0.805,1
Ecoli,1201681,+,4.24,0.951,0.764,1
Ecoli,1201804,+,6.56,1,0.887,1
Ecoli,1201805,-,6.45,1,0.917,1
Ecoli,1202056,+,5.33,1,0.905,1
Ecoli,1202057,-,4.41,0.872,0.705,1
Ecoli,1202332,+,6.07,0.984,0.819,1
Ecoli,1202478,+,5.31,1,0.93,1
Ecoli,1202479,-,5.55,0.954,0.812,1
Ecoli,1202730,+,6.12,0.996,0.894,1
Ecoli,1202731,-,5.33,0.985,0.869,1
Ecoli,1202844,+,6.4,1,1,1
Ecoli,1202845,-,6.19,1,0.986,1
Ecoli,1203426,-,6.18,0.91,0.793,1
Ecoli,1203596,-,5.86,1,0.913,1
Ecoli,1204029,+,4.8,0.999,0.866,1
Ecoli,1204030,-,6.53,1,0.907,1
Ecoli,1204591,+,7.32,1,0.952,1
Ecoli,1204600,-,4.21,1,0.87,1
Ecoli,1204623,+,4.78,0.984,0.76,1
Ecoli,1204624,-,5.98,0.909,0.759,1
Ecoli,1205041,+,7.2,0.932,0.799,1
Ecoli,1205042,-,5.58,0.976,0.836,1
Ecoli,1205275,+,7.72,1,1,1
Ecoli,1205276,-,7.28,1,1,1
Ecoli,1205504,-,5.23,0.914,0.74,1
Ecoli,1205524,-,5.74,1,1,1
Ecoli,1205529,-,2.66,0.314,0.171,0.452
Ecoli,1205553,-,5.12,0.891,0.778,1
Ecoli,1205839,+,5.84,0.93,0.776,1
Ecoli,1205840,-,7.31,0.949,0.815,1
Ecoli,1205986,+,6.56,1,0.887,1
Ecoli,1205987,-,5.94,0.935,0.781,1
Ecoli,1206122,+,5.78,1,0.978,1
Ecoli,1206123,-,5.15,0.997,0.926,1
Ecoli,1206266,+,5.65,1,0.938,1
Ecoli,1206267,-,5.58,0.9,0.743,1
Ecoli,1206989,+,8.09,0.998,0.983,1
Ecoli,1206990,-,6.64,1,1,1
Ecoli,1207064,+,7.13,1,0.976,1
Ecoli,1207065,-,7.48,0.979,0.976,0.985
Ecoli,1207391,+,6.2,1,0.912,1
Ecoli,1207392,-,4.33,0.853,0.728,0.981
Ecoli,1207601,+,9.62,1,0.889,1
Ecoli,1207602,-,6.28,1,1,1
Ecoli,1209731,+,6.29,1,1,1
Ecoli,1209732,-,5.8,0.966,0.825,1
Ecoli,1209875,+,4.93,1,0.857,1
Ecoli,1209876,-,5.07,1,0.922,1
Ecoli,1211240,-,4.8,0.827,0.68,0.977
Ecoli,1211560,+,4.92,0.904,0.733,1
Ecoli,1211561,-,6.78,0.973,0.876,1
Ecoli,1211921,+,4.98,0.914,0.734,1
Ecoli,1211922,-,5.53,0.992,0.983,1
Ecoli,1212315,-,1.76,0.315,0.15,0.449
Ecoli,1212539,+,5.45,1,0.833,1
Ecoli,1212540,-,5.14,0.986,0.96,1
Ecoli,1213102,+,3.44,1,0.82,1
Ecoli,1213103,-,5.62,1,0.899,1
Ecoli,1213154,+,4.81,1,0.873,1
Ecoli,1213155,-,5.44,1,0.875,1
Ecoli,1213469,+,5.15,0.977,0.802,1
Ecoli,1213470,-,7.1,1,0.981,1
Ecoli,1213479,+,4.42,0.916,0.788,1
Ecoli,1213488,-,4.54,1,0.918,1
Ecoli,1213667,+,6.34,0.956,0.814,1
Ecoli,1213718,+,4.4,1,0.976,1
Ecoli,1213719,-,5.49,1,0.902,1
Ecoli,1213902,+,6.68,0.981,0.85,1
Ecoli,1213903,-,6.67,1,0.956,1
Ecoli,1214324,+,5.73,1,0.922,1
Ecoli,1214325,-,4.62,0.978,0.842,1
Ecoli,1214433,+,8.33,0.98,0.965,0.998
Ecoli,1214434,-,7.5,0.969,0.844,1
Ecoli,1214561,+,5.4,1,0.889,1
Ecoli,1214562,-,7.33,1,0.964,1
Ecoli,1214822,+,5.77,0.978,0.831,1
Ecoli,1214823,-,6.24,1,0.903,1
Ecoli,1214933,+,4.89,1,1,1
Ecoli,1214934,-,5.9,1,1,1
Ecoli,1215007,+,5.62,1,0.942,1
Ecoli,1215008,-,8.01,1,1,1
Ecoli,1215045,+,7.53,1,0.935,1
Ecoli,1215046,-,7.21,1,0.948,1
Ecoli,1215272,+,7.1,1,0.987,1
Ecoli,1215273,-,6.33,1,1,1
Ecoli,1215360,+,5.24,1,0.844,1
Ecoli,1215361,-,4.77,0.909,0.729,1
Ecoli,1215805,-,1.56,0.235,0.103,0.377
Ecoli,1216854,+,6.11,0.903,0.735,1
Ecoli,1216855,-,4.74,0.894,0.744,1
Ecoli,1216905,+,5.23,1,0.829,1
Ecoli,1216906,-,6.61,1,0.922,1
Ecoli,1217200,-,4.82,0.949,0.789,1
Ecoli,1217780,-,5.59,0.986,0.843,1
Ecoli,1218081,+,6.1,0.985,0.85,1
Ecoli,1218111,+,5.86,1,0.865,1
Ecoli,1218112,-,5.67,0.998,0.966,1
Ecoli,1218601,+,6.43,0.934,0.802,1
Ecoli,1218602,-,5.93,0.974,0.825,0.994
Ecoli,1218667,+,4.92,0.974,0.781,1
Ecoli,1218668,-,4.55,1,0.871,1
Ecoli,1218687,+,5.06,0.967,0.764,1
Ecoli,1218688,-,5.18,0.956,0.816,1
Ecoli,1218858,+,5.38,0.928,0.774,1
Ecoli,1218859,-,6.54,0.997,0.974,1
Ecoli,1219049,+,5.47,1,0.933,1
Ecoli,1219050,-,4.38,0.902,0.792,1
Ecoli,1219145,+,5.09,1,0.992,1
Ecoli,1219191,+,5.23,0.978,0.818,1
Ecoli,1219192,-,6.23,1,0.968,1
Ecoli,1219262,-,8.61,0.994,0.967,1
Ecoli,1219414,+,5.35,0.929,0.777,1
Ecoli,1219415,-,5.41,0.986,0.842,1
Ecoli,1219861,+,5.05,0.922,0.759,1
Ecoli,1219862,-,4.12,1,0.942,1
Ecoli,1220596,-,5.39,0.985,0.84,1
Ecoli,1221068,+,5.37,1,0.978,1
Ecoli,1221069,-,6.62,1,0.872,1
Ecoli,1221369,+,4.96,0.952,0.767,1
Ecoli,1221370,-,4.4,1,0.875,1
Ecoli,1221498,+,4.2,0.986,0.819,1
Ecoli,1221499,-,6.81,1,0.919,1
Ecoli,1221848,+,6.01,1,0.938,1
Ecoli,1221849,-,5.45,0.999,0.997,1
Ecoli,1221888,+,6.45,0.936,0.783,1
Ecoli,1221889,-,5.8,1,0.917,1
Ecoli,1222046,+,4,0.988,0.875,1
Ecoli,1222047,-,4.22,1,0.877,1
Ecoli,1222248,+,6.65,1,0.897,1
Ecoli,1222348,+,5.11,0.96,0.902,0.982
Ecoli,1223045,+,6.09,0.985,0.874,1
Ecoli,1223046,-,5.22,0.799,0.657,0.957
Ecoli,1224375,+,4.57,0.946,0.801,1
Ecoli,1224376,-,6.06,0.991,0.835,1
Ecoli,1224720,+,5.31,1,0.936,1
Ecoli,1224721,-,6.48,1,0.98,1
Ecoli,1224730,+,6.19,1,0.978,1
Ecoli,1224731,-,7.29,0.919,0.836,0.989
Ecoli,1224757,+,8.39,0.988,0.871,0.999
Ecoli,1224758,-,6.07,1,0.914,1
Ecoli,1225038,+,5.08,0.899,0.748,1
Ecoli,1225039,-,7.58,0.987,0.891,1
Ecoli,1225384,+,6.6,0.999,0.957,1
Ecoli,1225385,-,4.96,1,0.972,1
Ecoli,1225466,+,5.25,1,0.934,1
Ecoli,1225467,-,5.03,0.948,0.816,1
Ecoli,1225649,+,5.04,1,1,1
Ecoli,1225650,-,6.45,0.999,0.89,1
Ecoli,1226820,+,6.11,0.995,0.904,0.999
Ecoli,1226821,-,4.88,0.952,0.745,1
Ecoli,1226886,+,5.99,0.983,0.849,1
Ecoli,1226887,-,5.37,0.937,0.798,1
Ecoli,1228232,-,5.02,1,1,1
Ecoli,1228236,+,6.5,1,0.927,1
Ecoli,1228256,+,5.58,1,0.923,1
Ecoli,1228257,-,6.3,0.964,0.789,1
Ecoli,1228380,+,6.19,1,1,1
Ecoli,1228381,-,5.83,1,0.983,1
Ecoli,1228574,+,4.83,1,0.968,1
Ecoli,1228575,-,5.33,0.909,0.715,1
Ecoli,1228595,+,5.08,1,0.849,1
Ecoli,1228596,-,4.69,0.928,0.775,1
Ecoli,1229242,+,4.93,0.982,0.948,1
Ecoli,1229243,-,4.48,0.987,0.788,1
Ecoli,1230299,+,4.58,0.963,0.77,1
Ecoli,1230320,+,4.53,1,0.969,1
Ecoli,1230321,-,4.9,0.924,0.706,1
Ecoli,1230708,+,5.88,1,0.946,1
Ecoli,1230709,-,4.71,0.901,0.715,1
Ecoli,1230789,+,5.25,0.901,0.736,1
Ecoli,1230790,-,6.24,0.998,0.836,1
Ecoli,1230825,+,5.91,0.952,0.83,1
Ecoli,1230826,-,6.29,0.934,0.774,1
Ecoli,1230882,+,6.17,1,0.86,1
Ecoli,1230883,-,7.07,1,0.873,1
Ecoli,1230899,+,5.26,0.999,0.966,1
Ecoli,1230900,-,4.82,1,0.845,1
Ecoli,1231160,+,4.38,0.903,0.701,0.978
Ecoli,1231161,-,6.45,0.987,0.823,1
Ecoli,1231343,+,5.43,1,0.895,1
Ecoli,1231344,-,8.59,0.999,0.952,1
Ecoli,1231364,+,5.71,1,0.932,1
Ecoli,1231365,-,7.44,1,1,1
Ecoli,1231502,+,4.88,1,0.977,1
Ecoli,1231503,-,6.63,0.974,0.807,1
Ecoli,1231529,+,7.89,1,0.986,1
Ecoli,1231530,-,7.49,1,0.906,1
Ecoli,1231600,+,6.49,1,0.986,1
Ecoli,1231601,-,5.51,1,0.925,1
Ecoli,1231757,-,6.96,1,0.984,1
Ecoli,1231783,+,6.04,0.954,0.795,1
Ecoli,1231784,-,7.11,0.997,0.947,1
Ecoli,1232169,+,4.98,1,0.887,1
Ecoli,1232170,-,6.06,1,0.903,1
Ecoli,1232371,+,5.68,0.996,0.979,1
Ecoli,1232372,-,5.52,0.939,0.793,1
Ecoli,1232515,+,6.78,1,1,1
Ecoli,1232516,-,6.55,0.898,0.729,1
Ecoli,1232843,+,7.51,0.997,0.86,1
Ecoli,1232844,-,5.52,1,1,1
Ecoli,1233863,+,5.97,0.986,0.813,1
Ecoli,1233864,-,5.61,1,0.877,1
Ecoli,1234042,-,5.35,0.87,0.711,0.997
Ecoli,1234254,+,4.34,0.949,0.773,0.999
Ecoli,1234255,-,4.98,0.867,0.746,0.99
Ecoli,1234710,+,5.96,1,0.929,1
Ecoli,1234711,-,5.61,1,0.902,1
Ecoli,1234845,+,4.81,0.907,0.766,1
Ecoli,1234846,-,5.78,0.986,0.841,1
Ecoli,1235206,+,8.02,1,0.961,1
Ecoli,1235207,-,5.14,1,0.979,1
Ecoli,1235344,+,6.63,1,0.913,1
Ecoli,1235345,-,4.58,0.954,0.814,0.995
Ecoli,1235554,+,5.4,1,0.874,1
Ecoli,1235555,-,6.93,0.999,0.895,1
Ecoli,1235838,+,4.51,1,1,1
Ecoli,1235839,-,6.21,1,0.982,1
Ecoli,1235911,+,7.18,0.985,0.865,1
Ecoli,1235968,+,7.46,1,1,1
Ecoli,1235969,-,5.19,0.976,0.826,1
Ecoli,1236024,+,4.92,0.951,0.774,1
Ecoli,1236025,-,4.63,0.931,0.719,1
Ecoli,1237232,-,5.42,1,1,1
Ecoli,1237248,+,7.18,0.988,0.978,1
Ecoli,1237257,-,5.19,0.869,0.716,1
Ecoli,1238580,+,4.08,0.933,0.749,1
Ecoli,1238581,-,7.06,1,0.895,1
Ecoli,1238757,+,6.52,0.911,0.742,1
Ecoli,1238758,-,7.26,1,0.935,1
Ecoli,1238783,+,4.58,0.999,0.835,1
Ecoli,1238796,+,6.31,0.992,0.91,1
Ecoli,1238907,+,6.65,1,1,1
Ecoli,1238908,-,6.01,1,0.907,1
Ecoli,1239026,+,5.33,1,0.836,1
Ecoli,1239027,-,5.33,1,0.907,1
Ecoli,1239104,+,6.87,1,0.944,1
Ecoli,1239105,-,5.98,0.998,0.995,1
Ecoli,1239138,+,6.77,0.999,0.845,1
Ecoli,1239139,-,6.83,1,0.862,1
Ecoli,1239285,+,5.75,1,0.972,1
Ecoli,1239286,-,4.18,0.963,0.815,1
Ecoli,1239857,+,4.41,0.869,0.71,1
Ecoli,1239858,-,5.28,0.998,0.985,1
Ecoli,1239965,+,5.03,0.91,0.735,1
Ecoli,1239966,-,6.84,1,0.826,1
Ecoli,1240414,+,5.82,0.985,0.844,1
Ecoli,1240415,-,4.07,0.829,0.699,0.969
Ecoli,1240596,+,4.9,0.976,0.809,1
Ecoli,1240597,-,5.91,0.925,0.729,1
Ecoli,1240647,+,7.82,1,0.874,1
Ecoli,1240648,-,5.64,1,0.842,1
Ecoli,1241190,+,6.71,1,1,1
Ecoli,1241191,-,5.37,1,1,1
Ecoli,1241434,+,6.55,0.944,0.779,1
Ecoli,1241435,-,4.82,1,0.879,1
Ecoli,1241545,+,4.96,0.862,0.704,1
Ecoli,1241546,-,6.33,1,0.98,1
Ecoli,1241586,+,6.32,0.983,0.895,1
Ecoli,1241587,-,5.13,1,1,1
Ecoli,1241950,+,6.89,1,1,1
Ecoli,1241951,-,5.9,1,0.858,1
Ecoli,1242032,+,5.63,0.956,0.746,1
Ecoli,1242033,-,6.74,1,0.976,1
Ecoli,1242531,-,4.92,0.907,0.735,1
Ecoli,1242872,+,4.74,0.956,0.79,1
Ecoli,1242881,-,5.26,0.963,0.703,1
Ecoli,1242913,+,8.74,1,0.993,1
Ecoli,1242914,-,5.23,0.956,0.806,1
Ecoli,1243337,+,7.71,1,1,1
Ecoli,1243338,-,5.69,1,0.845,1
Ecoli,1243348,+,8.05,1,0.994,1
Ecoli,1243349,-,4.85,0.968,0.873,1
Ecoli,1243580,+,5.92,0.917,0.759,1
Ecoli,1243581,-,7.21,0.988,0.943,1
Ecoli,1243658,+,8.89,1,0.899,1
Ecoli,1243659,-,5.87,1,0.895,1
Ecoli,1243672,+,6.59,1,0.902,1
Ecoli,1243673,-,6.14,1,0.845,1
Ecoli,1244334,+,5.76,1,0.846,1
Ecoli,1244343,-,5.58,0.965,0.858,0.993
Ecoli,1244409,+,6.61,1,0.95,1
Ecoli,1244410,-,5.8,0.953,0.792,1
Ecoli,1244652,+,7.22,1,0.887,1
Ecoli,1244653,-,6.51,0.988,0.913,1
Ecoli,1245263,-,6.07,1,0.902,1
Ecoli,1245782,+,5.19,1,0.859,1
Ecoli,1245783,-,8.09,1,1,1
Ecoli,1246126,+,4.05,0.899,0.73,1
Ecoli,1246127,-,8.1,1,0.899,1
Ecoli,1246232,-,5.45,1,0.868,1
Ecoli,1246253,+,5.8,1,0.941,1
Ecoli,1246254,-,5.51,1,0.915,1
Ecoli,1246369,+,4.89,1,0.895,1
Ecoli,1246370,-,6.5,0.907,0.753,1
Ecoli,1246561,+,5.79,0.984,0.848,1
Ecoli,1246562,-,5.2,0.907,0.759,1
Ecoli,1247110,+,4.57,1,0.886,1
Ecoli,1247111,-,8.19,1,0.854,1
Ecoli,1247153,+,4.56,0.946,0.809,1
Ecoli,1247164,+,4.87,1,0.904,1
Ecoli,1247165,-,5.14,0.998,0.962,1
Ecoli,1247442,+,5.17,1,0.901,1
Ecoli,1247459,+,4.67,0.993,0.862,0.999
Ecoli,1247460,-,3.7,0.923,0.704,1
Ecoli,1247536,+,4.65,0.986,0.847,1
Ecoli,1247537,-,5.02,1,0.799,1
Ecoli,1247876,+,5.5,1,0.975,1
Ecoli,1247877,-,6.12,0.984,0.963,1
Ecoli,1247993,+,5.17,0.985,0.829,1
Ecoli,1247994,-,4.58,0.985,0.856,1
Ecoli,1248144,-,6.76,1,0.84,1
Ecoli,1248230,+,3.89,0.977,0.805,1
Ecoli,1248231,-,5.83,1,0.863,1
Ecoli,1248267,-,5.21,1,0.895,1
Ecoli,1248429,+,5.37,1,0.874,1
Ecoli,1248430,-,5.7,1,0.946,1
Ecoli,1248849,+,5.93,1,0.898,1
Ecoli,1248995,+,4.79,0.96,0.776,1
Ecoli,1248996,-,5.73,1,0.952,1
Ecoli,1249668,+,4.54,1,0.857,1
Ecoli,1249669,-,5.56,1,0.827,1
Ecoli,1250012,-,5.26,1,0.97,1
Ecoli,1250143,+,7.1,1,0.869,1
Ecoli,1250144,-,5.69,0.974,0.851,1
Ecoli,1250746,+,6.02,0.974,0.793,1
Ecoli,1250747,-,7.62,1,0.957,1
Ecoli,1250825,+,6.02,0.93,0.759,1
Ecoli,1250826,-,4.68,0.958,0.734,1
Ecoli,1251334,+,5.96,1,0.847,1
Ecoli,1251463,+,5.16,1,1,1
Ecoli,1251464,-,5.92,0.998,0.993,1
Ecoli,1252057,+,6.09,0.985,0.849,1
Ecoli,1252058,-,5.64,1,0.978,1
Ecoli,1252264,+,5.83,1,1,1
Ecoli,1252265,-,5.87,0.962,0.774,1
Ecoli,1252911,+,6.71,1,1,1
Ecoli,1252912,-,6.17,1,0.871,1
Ecoli,1253018,+,5.51,1,0.888,1
Ecoli,1253019,-,4.12,0.89,0.704,1
Ecoli,1253124,+,6.47,1,1,1
Ecoli,1253622,+,6.1,0.985,0.855,1
Ecoli,1253623,-,5.63,1,0.872,1
Ecoli,1253634,+,4.61,0.939,0.723,1
Ecoli,1253643,-,4.5,1,0.85,1
Ecoli,1254027,+,5.65,1,0.81,1
Ecoli,1254028,-,7.04,1,1,1
Ecoli,1254729,+,6.08,1,0.985,1
Ecoli,1254730,-,6.33,1,0.899,1
Ecoli,1254745,+,5.35,1,0.852,1
Ecoli,1254746,-,4.37,0.91,0.729,1
Ecoli,1254867,+,4.68,1,1,1
Ecoli,1255200,+,3.95,0.927,0.728,1
Ecoli,1255201,-,5.64,1,0.874,1
Ecoli,1255372,-,4.75,0.985,0.829,1
Ecoli,1255740,+,5.26,0.99,0.762,1
Ecoli,1255741,-,4.12,1,0.945,1
Ecoli,1255914,+,7.75,0.999,0.937,1
Ecoli,1255915,-,6.3,0.985,0.869,1
Ecoli,1256456,+,5.72,1,0.905,1
Ecoli,1256457,-,6.99,0.983,0.841,1
Ecoli,1256466,+,6.88,1,0.846,1
Ecoli,1256467,-,6.7,1,0.889,1
Ecoli,1257004,+,5.25,1,0.931,1
Ecoli,1257005,-,5.73,1,0.91,1
Ecoli,1257515,-,5.97,1,0.984,1
Ecoli,1257657,+,8.19,1,0.98,1
Ecoli,1257658,-,5.68,0.986,0.969,0.991
Ecoli,1257669,+,5.56,1,0.911,1
Ecoli,1257670,-,6.38,1,0.934,1
Ecoli,1258223,+,4.9,1,0.937,1
Ecoli,1258224,-,6.18,0.991,0.871,1
Ecoli,1258693,+,6.18,1,0.881,1
Ecoli,1258694,-,9.23,0.989,0.867,1
Ecoli,1259179,+,6.1,1,1,1
Ecoli,1259180,-,6.5,1,0.851,1
Ecoli,1259512,+,5.76,0.929,0.745,1
Ecoli,1259513,-,6.5,0.971,0.772,1
Ecoli,1259741,-,5.6,0.993,0.743,1
Ecoli,1260018,+,4.99,1,0.873,1
Ecoli,1260019,-,6.11,1,0.92,1
Ecoli,1260370,+,5.87,1,0.875,1
Ecoli,1260371,-,5.13,1,0.891,1
Ecoli,1260463,+,6.98,1,0.954,1
Ecoli,1260464,-,5.55,0.961,0.854,1
Ecoli,1260757,+,5.12,0.904,0.717,1
Ecoli,1260950,+,4.23,0.983,0.785,1
Ecoli,1260951,-,5.57,0.892,0.73,1
Ecoli,1261121,+,5.16,1,1,1
Ecoli,1261122,-,6.89,1,1,1
Ecoli,1261208,+,6.99,1,0.901,1
Ecoli,1261209,-,5.79,1,0.898,1
Ecoli,1261424,+,6.63,1,0.97,1
Ecoli,1261425,-,6.81,0.957,0.81,1
Ecoli,1261489,+,5.41,1,1,1
Ecoli,1261943,+,6.16,0.913,0.722,1
Ecoli,1262317,+,5.6,1,0.898,1
Ecoli,1262318,-,6.97,1,0.886,1
Ecoli,1262386,+,4.39,0.995,0.978,1
Ecoli,1262387,-,5.83,0.989,0.817,1
Ecoli,1262678,+,6.31,1,0.843,1
Ecoli,1262679,-,3.72,0.903,0.703,1
Ecoli,1263264,+,7.48,1,0.985,1
Ecoli,1263265,-,5.14,0.922,0.719,1
Ecoli,1263648,+,5.78,1,0.815,1
Ecoli,1263799,+,5.61,1,0.858,1
Ecoli,1263800,-,5.33,0.899,0.71,1
Ecoli,1263962,-,5.45,0.926,0.735,1
Ecoli,1264062,+,5.9,1,0.837,1
Ecoli,1264063,-,7.26,0.985,0.901,1
Ecoli,1264239,+,7.57,1,0.983,1
Ecoli,1264240,-,4.21,0.948,0.79,1
Ecoli,1264618,+,8.47,1,0.928,1
Ecoli,1264619,-,6.34,1,0.864,1
Ecoli,1264849,+,5.36,1,1,1
Ecoli,1264850,-,5.39,0.985,0.776,1
Ecoli,1264879,-,4.97,0.923,0.725,1
Ecoli,1265223,+,5.07,0.96,0.764,1
Ecoli,1265323,-,6.31,1,1,1
Ecoli,1265400,+,4.05,0.978,0.838,1
Ecoli,1265401,-,7.49,1,0.889,1
Ecoli,1265496,-,5.21,1,0.974,1
Ecoli,1265916,+,5.95,0.97,0.767,1
Ecoli,1265917,-,6.77,1,0.936,1
Ecoli,1265967,+,5.94,1,0.94,1
Ecoli,1265968,-,5.48,1,0.921,1
Ecoli,1266437,+,5.36,0.985,0.831,1
Ecoli,1266438,-,5.57,1,0.969,1
Ecoli,1266512,+,5.63,0.893,0.735,1
Ecoli,1266513,-,4.51,1,1,1
Ecoli,1266565,+,5.57,0.964,0.783,1
Ecoli,1266566,-,5.66,0.942,0.754,1
Ecoli,1267325,+,6.05,0.974,0.797,1
Ecoli,1267326,-,4.54,0.982,0.792,1
Ecoli,1267374,+,5.65,0.969,0.816,1
Ecoli,1267506,+,6.3,0.985,0.833,1
Ecoli,1267507,-,7.06,0.936,0.772,1
Ecoli,1267960,+,6.28,1,0.908,1
Ecoli,1267961,-,4.39,0.975,0.744,0.999
Ecoli,1267978,+,5.45,1,1,1
Ecoli,1267979,-,6.55,1,0.88,1
Ecoli,1268068,-,4.98,0.964,0.774,1
Ecoli,1268079,+,4.87,0.938,0.753,0.996
Ecoli,1268080,-,6.04,0.988,0.877,1
Ecoli,1268160,+,4.43,0.933,0.76,1
Ecoli,1268161,-,4.56,0.971,0.81,1
Ecoli,1268259,+,6.12,1,1,1
Ecoli,1268260,-,7.14,1,1,1
Ecoli,1268664,+,4.78,0.909,0.717,1
Ecoli,1268665,-,6.66,1,0.888,1
Ecoli,1268787,+,5.27,0.943,0.78,1
Ecoli,1268788,-,7.82,1,0.977,1
Ecoli,1268892,+,5.84,1,0.935,1
Ecoli,1268893,-,6.13,0.959,0.791,1
Ecoli,1268979,+,5.24,0.979,0.784,1
Ecoli,1269223,+,5.62,0.957,0.793,1
Ecoli,1269224,-,7.33,1,0.86,1
Ecoli,1269758,+,4.57,1,0.877,1
Ecoli,1269759,-,6.85,1,0.933,1
Ecoli,1270293,+,4.75,0.975,0.791,1
Ecoli,1270294,-,5.52,0.943,0.739,1
Ecoli,1271288,-,5.08,0.935,0.761,1
Ecoli,1272141,+,6.54,1,1,1
Ecoli,1272142,-,6.45,1,0.933,1
Ecoli,1272220,-,6.94,1,1,1
Ecoli,1272651,+,6.19,0.981,0.847,1
Ecoli,1272652,-,4.34,0.979,0.811,1
Ecoli,1272665,+,5.47,0.923,0.783,1
Ecoli,1272666,-,4.21,1,1,1
Ecoli,1272928,+,7.32,0.971,0.847,1
Ecoli,1273400,+,4.7,0.92,0.719,1
Ecoli,1273401,-,5.67,0.956,0.77,1
Ecoli,1273492,+,5.05,1,0.92,1
Ecoli,1273493,-,4.72,0.959,0.766,1
Ecoli,1273583,+,7.26,1,0.868,1
