chr,coordinate,strand,IPD_ratio,frac,fracLow,fracUp
Chr1,10686983,-,4.85,1,0.881,1
Chr1,10686991,-,2.62,1,0.838,1
Chr1,10688040,+,2.23,0.924,0.708,1
Chr1,10688408,+,5.47,1,0.779,1
Chr1,10688619,-,5.93,1,1,1
Chr1,10692456,-,3.14,1,0.808,1
Chr1,10694334,+,3.2,1,0.792,1
Chr1,10717892,+,1.72,0.948,0.764,1
Chr1,10731811,-,3.55,1,0.839,1
Chr1,10740515,+,4.09,1,0.849,1
Chr1,10743279,+,5.65,0.985,0.791,1
Chr1,10746603,+,4.58,0.992,0.894,1
Chr1,10760766,+,3.73,0.968,0.765,1
Chr1,10763864,-,2.35,1,0.752,1
Chr1,10766164,-,2.38,1,0.733,1
Chr1,10767395,-,4.16,1,1,1
Chr1,10768944,-,4.2,1,0.909,1
Chr1,10773650,-,3.81,0.997,0.927,1
Chr1,10782345,+,3.02,1,0.799,1
Chr1,10785768,+,3.26,1,0.865,1
Chr1,10799110,-,9.37,0.934,0.705,1
Chr1,10814468,-,1.95,0.703,0.571,0.809
Chr1,10821008,+,4.74,0.997,0.861,1
Chr1,10830187,+,3.19,0.997,0.984,1
Chr1,10830196,-,2.86,1,1,1
Chr1,10830339,-,1.64,0.845,0.821,0.876
Chr1,10833648,+,3.57,1,0.77,1
Chr1,10833873,+,2.73,1,0.753,1
Chr1,10842158,-,2.7,1,0.841,1
Chr1,10858733,+,2.17,0.939,0.736,1
Chr1,10864110,-,2.75,1,0.736,1
Chr1,10885346,+,3.13,0.973,0.882,0.996
Chr1,10885795,+,3.95,0.985,0.761,1
Chr1,10914673,+,1.78,1,1,1
Chr1,10930093,+,2.69,1,1,1
Chr1,10930403,+,3.36,0.984,0.751,1
Chr1,10939613,-,1.66,0.841,0.649,0.888
Chr1,10962456,+,2.45,0.997,0.832,1
Chr1,10963325,+,2.93,1,1,1
Chr1,10991267,-,4.34,1,1,1
Chr1,11020438,-,3.38,1,0.821,1
Chr1,11033259,+,4.97,0.989,0.988,0.996
Chr1,11041138,+,3.74,1,0.74,1
Chr1,11082578,+,2.22,1,1,1
Chr1,11097117,-,3.56,1,0.77,1
Chr1,11098487,-,3.14,0.977,0.761,1
Chr1,11100530,-,4.12,1,1,1
Chr1,11106181,+,5.46,1,1,1
Chr1,11117508,+,6.78,1,0.986,1
Chr1,11117512,+,5.57,0.964,0.783,1
Chr1,11131636,-,5.26,1,0.904,1
Chr1,11143852,-,2.54,1,0.945,1
Chr1,11145837,-,3.8,1,0.876,1
Chr1,11169272,-,1.88,0.716,0.612,0.819
Chr1,11176467,+,2.91,1,0.852,1
Chr1,11183551,+,8.43,0.991,0.989,1
Chr1,11184440,+,3.77,1,0.916,1
Chr1,11204081,+,2.96,1,0.758,1
Chr1,11206218,-,2.32,0.943,0.853,1
Chr1,11236164,+,3.66,0.984,0.713,1
Chr1,11252278,-,3.27,0.983,0.712,1
Chr1,11252588,-,4.32,1,0.973,1
Chr1,11260582,+,3.02,1,1,1
Chr1,11270488,-,4.82,0.992,0.752,1
Chr1,11272208,+,3.66,1,0.723,1
Chr1,11272269,+,5.43,0.987,0.875,1
Chr1,11272274,-,3.02,0.923,0.731,1
Chr1,11272517,-,1.59,0.627,0.552,0.729
Chr1,11277275,+,3.74,0.984,0.74,1
Chr1,11279067,+,3.38,0.998,0.986,1
Chr1,11361366,+,6.23,1,1,1
Chr1,11363047,+,4.33,1,1,1
Chr1,11364391,+,3.72,0.941,0.701,1
Chr1,11365974,+,4.04,0.936,0.701,1
Chr1,11383113,-,2.95,1,0.831,1
Chr1,11393302,-,5.23,0.962,0.771,0.995
Chr1,11393980,-,4.54,0.964,0.765,1
Chr1,11399882,-,5.77,1,0.929,1
Chr1,11403797,+,3.41,1,0.943,1
Chr1,11403860,+,4.13,0.966,0.706,1
Chr1,11447869,+,3.27,0.964,0.731,0.988
Chr1,11460106,-,4.28,0.998,0.904,1
Chr1,11462530,-,3.41,0.934,0.702,1
Chr1,11467264,+,4.98,0.985,0.725,1
Chr1,11467697,+,3.03,1,0.953,1
Chr1,11468270,-,4.52,0.983,0.932,0.991
Chr1,11468447,-,3.66,1,0.727,1
Chr1,11468813,+,3.61,0.981,0.792,0.999
Chr1,11481070,-,4.3,0.905,0.727,1
Chr1,11542607,+,3.21,1,1,1
Chr1,11550510,+,2,0.794,0.596,0.871
Chr1,11552204,+,4.46,1,0.92,1
Chr1,11553700,+,3.97,0.924,0.722,1
Chr1,11581178,+,1.8,0.7,0.593,0.866
Chr1,11583412,-,3.69,0.986,0.759,1
Chr1,11602886,-,2.59,0.983,0.949,1
Chr1,11609365,+,4.31,0.998,0.845,1
Chr1,11610265,+,3.77,0.918,0.708,1
Chr1,11615659,+,2.62,0.997,0.825,1
Chr1,11617702,-,5.3,1,0.833,1
Chr1,11619132,+,3.4,0.978,0.707,1
Chr1,11620459,-,2.39,0.914,0.711,1
Chr1,11630189,+,4.81,1,0.791,1
Chr1,11635174,-,1.81,0.917,0.702,0.939
Chr1,11656871,-,3.22,1,1,1
Chr1,11658385,-,2.77,1,0.757,1
Chr1,11667536,-,2.24,0.577,0.398,0.696
Chr1,11677827,+,3.46,1,0.985,1
Chr1,11686191,+,4.16,0.985,0.752,1
Chr1,11687747,+,1.63,0.313,0.212,0.483
Chr1,11693622,-,1.85,0.699,0.618,0.823
Chr1,11697412,-,3.59,0.887,0.664,0.939
Chr1,11697423,+,3.8,0.982,0.814,0.991
Chr1,11704170,-,3.77,1,1,1
Chr1,11705054,+,6.61,0.972,0.795,1
Chr1,11707004,+,5.15,1,1,1
Chr1,11707567,+,3.71,1,0.966,1
Chr1,11715992,-,3.71,0.918,0.707,1
Chr1,11716607,-,4.39,1,0.832,1
Chr1,11716851,-,1.99,1,0.855,1
Chr1,11718732,+,3.53,1,0.966,1
Chr1,11720375,+,3.03,1,1,1
Chr1,11721473,-,2.01,0.142,0,0.271
Chr1,11723515,-,2.38,1,0.711,1
Chr1,11729511,-,3.09,1,0.762,1
Chr1,11733918,+,2.91,1,0.822,1
Chr1,11742928,-,7.21,1,1,1
Chr1,11744464,-,3.26,1,1,1
Chr1,11746664,+,3.7,0.906,0.705,1
Chr1,11746864,-,3.36,0.97,0.761,1
Chr1,11749026,+,7.23,1,1,1
Chr1,11752544,+,4.61,1,0.945,1
Chr1,11777321,-,4.94,0.934,0.706,1
Chr1,11778569,-,2.88,1,0.794,1
Chr1,11778668,+,3.8,0.97,0.741,1
Chr1,11786699,-,3.23,0.968,0.751,1
Chr1,11814522,+,2.06,0.977,0.956,0.999
Chr1,11818150,-,3.49,1,0.902,1
Chr1,11828603,+,1.77,0.541,0.435,0.652
Chr1,11835449,+,4.71,0.942,0.704,1
Chr1,11836497,+,6.41,0.991,0.965,0.994
Chr1,11836924,+,5.62,1,0.851,1
Chr1,11839018,+,3.71,0.985,0.718,1
Chr1,11839135,-,4.56,0.986,0.732,1
Chr1,11849572,+,4.84,0.925,0.711,1
Chr1,11855345,+,2.68,0.937,0.703,1
Chr1,11857116,+,7.25,1,1,1
Chr1,11857503,+,2.44,1,1,1
Chr1,11859661,+,4.1,0.992,0.841,1
Chr1,11859898,+,3.13,1,0.82,1
Chr1,11859902,+,3.51,0.987,0.741,1
Chr1,11861424,+,3.35,0.928,0.723,1
Chr1,11876086,+,4.4,1,0.81,1
Chr1,11876090,+,4.9,0.983,0.839,1
Chr1,11877054,+,2.1,0.894,0.664,0.913
Chr1,11882559,-,7.44,1,1,1
Chr1,11890111,+,5.46,1,1,1
Chr1,11891594,-,3.03,0.924,0.704,1
Chr1,11893003,-,4.83,1,1,1
Chr1,11894776,-,6.08,0.948,0.746,1
Chr1,11896381,+,3.12,0.631,0.479,0.778
Chr1,11896468,+,1.65,0.236,0.095,0.379
Chr1,11903953,-,3.77,1,0.831,1
Chr1,11914069,-,3.59,0.997,0.728,1
Chr1,11918557,-,2.72,0.996,0.993,1
Chr1,11920052,-,1.81,0.907,0.886,0.93
Chr1,11943313,-,2.43,1,1,1
Chr1,11963319,+,4.33,1,0.795,1
Chr1,11968607,-,3.86,0.879,0.682,0.945
Chr1,11969118,-,4.43,1,0.899,1
Chr1,11976372,+,3.66,0.984,0.98,0.99
Chr1,11976424,-,4.22,0.989,0.827,0.996
Chr1,11981497,-,3.18,0.983,0.712,1
Chr1,11984646,+,3.39,1,0.997,1
Chr1,12003784,+,1.57,0.869,0.841,0.898
Chr1,12009990,+,4,1,0.997,1
Chr1,12010003,-,4.21,0.992,0.85,1
Chr1,12014798,+,4.77,1,1,1
Chr1,12016630,-,4.64,1,0.83,1
Chr1,12018056,+,4.06,1,0.839,1
Chr1,12018060,+,2.57,0.941,0.706,1
Chr1,12018065,-,6.71,1,1,1
Chr1,12019331,+,3.74,0.958,0.741,1
Chr1,12022377,-,7.86,0.992,0.99,1
Chr1,12022639,-,4.68,0.999,0.788,1
Chr1,12030839,-,4.57,1,0.866,1
Chr1,12033592,-,2.98,1,1,1
Chr1,12035097,+,3.75,1,0.884,1
Chr1,12035631,+,3.24,1,1,1
Chr1,12036157,+,2.61,0.788,0.657,0.893
Chr1,12036569,+,5.52,1,0.998,1
Chr1,12041588,+,4.16,1,0.986,1
Chr1,12042064,+,3.16,1,0.809,1
Chr1,12050410,-,4.85,1,0.891,1
Chr1,12073806,-,4.14,0.934,0.719,1
Chr1,12077943,-,4.66,0.999,0.999,1
Chr1,12078800,-,3.56,1,0.728,1
Chr1,12080393,-,3.66,1,0.83,1
Chr1,12086244,+,2.78,1,0.755,1
Chr1,12100054,-,4.85,1,0.746,1
Chr1,12100903,-,1.93,0.816,0.778,0.859
Chr1,12102301,+,3.42,0.906,0.719,1
Chr1,12106812,+,2.08,1,0.866,1
Chr1,12112760,+,4.45,0.923,0.709,1
Chr1,12122865,-,2.94,0.999,0.998,1
Chr1,12125668,-,3.01,0.997,0.903,1
Chr1,12173669,+,3.29,0.942,0.701,1
Chr1,12184714,-,5.07,0.995,0.957,1
Chr1,12192125,+,4.39,0.941,0.736,1
Chr1,12192191,+,14.1,1,0.86,1
Chr1,12192257,+,10.44,0.985,0.853,1
Chr1,12192563,+,4.98,0.974,0.797,1
Chr1,12192748,-,5.2,0.926,0.744,0.991
Chr1,12193093,-,7.27,0.929,0.77,1
Chr1,12193224,-,4.81,1,0.841,1
Chr1,12193284,-,6.08,0.92,0.723,1
Chr1,12193760,-,6.62,0.975,0.773,1
Chr1,12194003,-,5.39,0.927,0.722,1
Chr1,12209304,+,4.22,1,1,1
Chr1,12222608,-,6.32,1,0.983,1
Chr1,12253107,-,6,1,1,1
Chr1,12253319,+,4.44,0.931,0.722,1
Chr1,12253444,+,2.24,0.485,0.371,0.601
Chr1,12263195,-,6.87,1,0.954,1
Chr1,12263531,-,3.34,1,0.727,1
Chr1,12263533,+,3.58,0.948,0.804,0.966
Chr1,12263537,+,3.12,1,1,1
Chr1,12264302,+,5.77,1,0.884,1
Chr1,12264700,+,5.5,1,0.887,1
Chr1,12270661,-,2.83,1,0.715,1
Chr1,12287058,-,3.21,0.975,0.733,1
Chr1,12287169,-,2.99,0.941,0.734,1
Chr1,12292556,+,6.08,1,1,1
Chr1,12292564,+,5.18,1,1,1
Chr1,12292680,+,1.76,1,0.835,1
Chr1,12292684,+,4.92,1,1,1
Chr1,12293004,-,5.46,0.997,0.732,1
Chr1,12293521,-,5.67,1,0.995,1
Chr1,12293740,+,3.88,1,0.914,1
Chr1,12293994,+,2.25,1,0.974,1
Chr1,12294002,+,3.52,0.999,0.818,1
Chr1,12294003,-,5.31,1,0.956,1
Chr1,12294062,-,5,0.997,0.81,1
Chr1,12294232,+,4.89,1,0.969,1
Chr1,12294245,+,3.94,1,0.746,1
Chr1,12294850,-,4.7,0.999,0.83,1
Chr1,12294882,-,10.66,1,0.937,1
Chr1,12294890,-,2.95,0.954,0.732,1
Chr1,12297573,-,3.55,1,0.715,1
Chr1,12307432,+,3.41,1,0.956,1
Chr1,12309624,+,2.88,1,1,1
Chr1,12310969,-,3.39,1,0.857,1
Chr1,12318127,-,1.69,0.757,0.68,0.834
Chr1,12318957,-,2.67,0.999,0.78,1
Chr1,12337944,+,2.36,0.977,0.734,1
Chr1,12343298,+,4.1,0.942,0.738,1
Chr1,12353643,-,1.86,0.608,0.495,0.703
Chr1,12366921,-,2.69,1,1,1
Chr1,12373519,+,5.09,1,0.98,1
Chr1,12375725,+,2.85,0.987,0.81,0.993
Chr1,12459834,-,1.55,0.684,0.608,0.781
Chr1,12466377,-,8.66,1,1,1
Chr1,12466418,-,1.98,0.119,0,0.267
Chr1,12489875,+,3.91,1,0.826,1
Chr1,12490687,-,5.05,1,0.891,1
Chr1,12492719,-,1.81,0.33,0.166,0.453
Chr1,12498763,-,4.18,0.96,0.718,1
Chr1,12509559,+,3.61,1,0.843,1
Chr1,12518338,+,3.2,1,0.905,1
Chr1,12526808,-,3.92,0.984,0.755,1
Chr1,12533032,+,4.03,0.927,0.707,1
Chr1,12533266,+,1.63,0.601,0.511,0.715
Chr1,12535812,+,6.4,0.99,0.989,0.995
Chr1,12548178,-,1.51,0.141,0.027,0.277
Chr1,12549656,-,1.8,0.266,0.132,0.425
Chr1,12553523,+,4.18,0.944,0.725,0.981
Chr1,12559700,+,1.86,1,1,1
Chr1,12565328,+,4.19,1,0.879,1
Chr1,12570337,+,4.33,1,0.795,1
Chr1,12570545,+,3.71,1,0.923,1
Chr1,12571213,-,3.26,0.985,0.747,1
Chr1,12571217,-,5.37,0.991,0.916,0.993
Chr1,12571876,-,3.57,1,0.85,1
Chr1,12572144,+,5.68,1,1,1
Chr1,12574262,+,2.63,1,1,1
Chr1,12581320,-,4.23,1,0.89,1
Chr1,12584524,-,3.29,1,1,1
Chr1,12592189,+,4.09,1,0.997,1
Chr1,12592303,+,3.86,0.999,0.916,1
Chr1,12594665,+,7.23,0.984,0.811,1
Chr1,12603572,+,3.76,0.961,0.704,1
Chr1,12612511,-,2.01,0.524,0.31,0.587
Chr1,12613971,-,3.61,0.997,0.992,1
Chr1,12620237,-,2.76,0.961,0.707,1
Chr1,12623896,-,2.62,1,0.739,1
Chr1,12625220,+,2.53,1,0.712,1
Chr1,12627991,-,1.62,0.759,0.706,0.812
Chr1,12628430,-,5.39,1,0.842,1
Chr1,12629885,+,5.61,0.995,0.833,0.999
Chr1,12632590,+,2.72,0.994,0.726,1
Chr1,12641737,+,2.94,0.974,0.78,1
Chr1,12659518,+,4.13,1,0.795,1
Chr1,12662846,+,6.97,1,0.847,1
Chr1,12686681,-,3.67,1,0.771,1
Chr1,12695286,-,2.66,1,0.901,1
Chr1,12702369,+,9.45,0.985,0.877,1
Chr1,12709134,+,4.58,0.99,0.75,0.995
Chr1,12717991,-,4.4,0.939,0.774,1
Chr1,12757348,+,3.01,0.988,0.726,0.996
Chr1,12816110,+,5.65,1,1,1
Chr1,12820987,-,4.29,1,0.776,1
Chr1,12857581,-,4.25,1,1,1
Chr1,12864625,-,2.97,1,1,1
Chr1,12869453,-,4.59,1,0.816,1
Chr1,12887363,-,2.94,1,0.766,1
Chr1,12901563,+,3.22,0.993,0.98,1
Chr1,12910845,+,3.24,1,1,1
Chr1,12923974,+,6.12,0.954,0.759,0.98
Chr1,12925689,-,3.55,0.985,0.791,1
Chr1,12926347,-,3.42,0.982,0.731,1
Chr1,12928248,+,5.07,1,0.829,1
Chr1,12928527,+,4.06,1,1,1
Chr1,12934021,+,5.06,1,0.868,1
Chr1,12938840,-,5.05,1,0.979,1
Chr1,12944374,+,2.94,1,0.848,1
Chr1,12958000,-,3.35,1,0.797,1
Chr1,12969106,+,2.42,0.713,0.619,0.818
Chr1,12969384,+,1.69,0.544,0.445,0.637
Chr1,12972004,-,3.52,0.971,0.871,1
Chr1,12976216,+,3.06,0.999,0.906,1
Chr1,12981142,-,1.57,0.03,0,0.287
Chr1,12984186,-,2.66,0.996,0.915,1
Chr1,12986737,-,2.6,1,1,1
Chr1,12994650,-,6.71,0.958,0.742,1
Chr1,12994775,-,3.31,0.982,0.759,0.993
Chr1,12994797,+,3.95,0.922,0.709,1
Chr1,12995396,+,6.3,0.95,0.753,1
Chr1,12995437,+,1.8,0.796,0.625,0.841
Chr1,12995513,-,9.44,0.974,0.774,1
Chr1,12995523,-,3.91,1,1,1
Chr1,13000305,+,5.55,1,1,1
Chr1,13003307,-,6.69,1,0.866,1
Chr1,13003443,-,5.23,0.949,0.732,1
Chr1,13004537,+,2.14,0.949,0.747,1
Chr1,13004789,+,2.93,0.986,0.823,0.999
Chr1,13006031,-,4.59,1,0.773,1
Chr1,13006520,-,2.3,0.879,0.749,0.929
Chr1,13008802,-,8.08,1,1,1
Chr1,13010010,+,2.91,0.992,0.762,1
Chr1,13010646,+,4.81,0.997,0.997,1
Chr1,13013996,-,4.31,0.907,0.741,1
Chr1,13021156,+,3.51,1,0.865,1
Chr1,13021290,+,2.06,0.672,0.489,0.775
Chr1,13022938,-,4.79,1,0.851,1
Chr1,13023233,+,8.25,1,0.977,1
Chr1,13023238,-,5.37,0.992,0.988,0.999
Chr1,13023453,+,4.18,0.989,0.979,1
Chr1,13026923,-,1.52,0.462,0.369,0.549
Chr1,13028714,-,2.24,1,0.737,1
Chr1,13028731,-,1.67,0.106,0.038,0.248
Chr1,13028783,+,3.24,1,0.735,1
Chr1,13028786,-,1.76,0.509,0.344,0.623
Chr1,13030478,-,1.9,0.174,0.051,0.331
Chr1,13030488,-,1.71,0.147,0,0.29
Chr1,13033561,+,3.59,1,0.808,1
Chr1,13045896,+,3.03,1,0.784,1
Chr1,13050210,-,3.54,1,1,1
Chr1,13055755,-,4.68,0.96,0.713,1
Chr1,13058114,+,2.82,1,0.922,1
Chr1,13060653,+,3.99,1,1,1
Chr1,13062611,+,3.97,1,0.792,1
Chr1,13065012,-,3.79,0.954,0.748,1
Chr1,13066422,+,3.02,1,0.79,1
Chr1,13081136,-,3.83,1,0.87,1
Chr1,13084505,-,2.87,1,1,1
Chr1,13084578,+,1.79,1,0.9,1
Chr1,13084989,+,1.47,0.238,0.201,0.428
Chr1,13086710,-,7.31,1,0.894,1
Chr1,13100322,-,3.18,0.981,0.769,1
Chr1,13114252,+,1.65,0.703,0.581,0.761
Chr1,13144916,+,4.43,0.935,0.718,1
Chr1,13149117,+,4.39,1,0.844,1
Chr1,13182608,+,5.46,0.793,0.654,0.944
Chr1,13183726,-,3.03,0.534,0.416,0.692
Chr1,13183958,+,1.94,0.296,0.153,0.45
Chr1,13184219,-,3.46,1,0.901,1
Chr1,13184230,-,3.16,0.989,0.985,0.994
Chr1,13184295,+,1.53,0.267,0.152,0.427
Chr1,13186658,+,4.56,0.993,0.895,1
Chr1,13194960,-,3.3,0.949,0.73,1
Chr1,13195534,-,4.37,0.947,0.749,1
Chr1,13230997,-,5.2,1,1,1
Chr1,13231459,+,3.86,0.992,0.787,1
Chr1,13232728,-,2.65,0.966,0.773,1
Chr1,13233262,+,2.21,0.252,0.097,0.394
Chr1,13241089,-,5.85,1,0.98,1
Chr1,13242147,+,6.89,1,0.922,1
Chr1,13242152,-,3.44,1,0.796,1
Chr1,13247109,+,3.01,1,0.768,1
Chr1,13248622,+,2.82,1,0.988,1
Chr1,13264471,-,3.03,0.986,0.77,1
Chr1,13264552,-,3.82,1,0.895,1
Chr1,13264822,-,3.44,1,0.874,1
Chr1,13265307,+,6.26,1,0.915,1
Chr1,13266168,+,5.6,0.996,0.994,1
Chr1,13266695,+,6.64,0.993,0.989,1
Chr1,13270588,+,3.6,1,0.745,1
Chr1,13271006,+,4.65,1,0.854,1
Chr1,13272929,+,5.4,0.953,0.728,1
Chr1,13274076,+,5.25,0.953,0.727,1
Chr1,13274577,+,4.75,1,0.822,1
Chr1,13282389,-,5.46,1,0.846,1
Chr1,13291177,-,3.07,1,0.791,1
Chr1,13291480,+,5.97,1,0.887,1
Chr1,13291485,-,6.82,1,0.842,1
Chr1,13294310,-,3.76,1,1,1
Chr1,13297126,+,3.69,1,1,1
Chr1,13299286,-,6.71,1,1,1
Chr1,13299850,-,2.1,1,0.817,1
Chr1,13299895,+,5.53,1,0.994,1
Chr1,13303245,+,4.16,0.948,0.712,1
Chr1,13304991,-,2.61,0.944,0.707,1
Chr1,13306012,-,1.53,0.937,0.879,0.95
Chr1,13307409,-,4.22,1,0.977,1
Chr1,13312356,+,4.06,1,1,1
Chr1,13317518,+,3.97,0.998,0.812,0.999
Chr1,13327233,+,5.94,0.998,0.805,1
Chr1,13335802,+,3.16,0.978,0.715,1
Chr1,13336634,+,2.72,1,0.731,1
Chr1,13348205,-,3.55,0.938,0.754,0.995
Chr1,13348945,+,3.54,1,0.938,1
Chr1,13350498,+,2.29,1,1,1
Chr1,13355784,+,1.91,1,1,1
Chr1,13357379,-,2.42,0.984,0.712,1
Chr1,13374875,+,5.23,1,0.833,1
Chr1,13386544,-,4.41,1,0.853,1
Chr1,13392093,+,1.77,0.111,0,0.231
Chr1,13393227,-,3.57,1,0.83,1
Chr1,13394890,+,2.79,0.97,0.745,1
Chr1,13395212,+,2.86,1,0.898,1
Chr1,13399786,+,5.48,1,0.876,1
Chr1,13410156,+,2.45,1,1,1
Chr1,13411105,-,3.73,1,0.725,1
Chr1,13412554,-,2.16,1,1,1
Chr1,13412772,-,10.72,1,1,1
Chr1,13420866,-,2.81,1,0.743,1
Chr1,13427296,+,1.96,0.68,0.487,0.776
Chr1,13447540,+,4.12,0.896,0.707,1
Chr1,13475153,-,5.61,1,0.905,1
Chr1,13492007,+,3.41,1,0.802,1
Chr1,13494245,-,6.63,1,0.77,1
Chr1,13494949,-,5.57,1,0.84,1
Chr1,13496134,+,4.34,0.977,0.726,1
Chr1,13509379,-,3.36,0.996,0.992,1
Chr1,13510779,-,3.33,1,0.823,1
Chr1,13518733,-,10.24,0.993,0.818,1
Chr1,13525491,+,3.9,1,1,1
Chr1,13553833,-,3.23,0.986,0.941,1
Chr1,13554826,+,2.69,0.998,0.827,1
Chr1,13557895,-,2.8,1,0.823,1
Chr1,13561126,-,3.4,1,0.798,1
Chr1,13561561,-,3.87,0.994,0.795,1
Chr1,13562269,-,4.55,1,0.835,1
Chr1,13563902,-,4,1,0.874,1
Chr1,13564399,+,5.15,1,0.849,1
Chr1,13572455,-,4.31,1,0.751,1
Chr1,13575336,+,2.66,0.965,0.705,1
Chr1,13577686,-,2.23,0.879,0.72,0.993
Chr1,13578492,-,4.4,1,1,1
Chr1,13578856,-,3.78,1,1,1
Chr1,13579958,+,1.58,0.188,0.054,0.339
Chr1,13579962,+,2.42,0.99,0.97,1
Chr1,13580884,-,2.01,0.93,0.754,1
Chr1,13580909,-,2.53,1,1,1
Chr1,13586411,+,4.4,0.977,0.784,1
Chr1,13595647,+,2.08,0.476,0.388,0.57
Chr1,13596246,-,3.45,0.963,0.732,1
Chr1,13597463,+,3.84,1,0.975,1
Chr1,13643066,+,8.94,1,0.763,1
Chr1,13644961,+,11.77,0.926,0.752,1
Chr1,13645058,+,16.35,0.945,0.775,1
Chr1,13645337,+,8.91,0.973,0.72,1
Chr1,13645652,+,7.11,0.945,0.755,1
Chr1,13645763,+,18.81,0.985,0.903,1
Chr1,13645857,+,17.16,0.877,0.707,1
Chr1,13646595,+,11.47,1,1,1
Chr1,13647013,-,7.24,0.985,0.81,1
Chr1,13647378,-,1.65,0.27,0.135,0.429
Chr1,13655768,-,3.26,0.63,0.491,0.79
Chr1,13656069,+,3.75,1,0.761,1
Chr1,13670887,-,5.26,0.994,0.778,1
Chr1,13674742,+,5.62,0.989,0.97,0.998
Chr1,13679956,+,4.06,1,1,1
Chr1,13682503,-,2.58,1,0.723,1
Chr1,13682512,+,4.84,0.968,0.723,1
Chr1,13690193,+,4.59,1,1,1
Chr1,13691445,+,3.21,1,0.976,1
Chr1,13691473,+,1.53,0.083,0,0.29
Chr1,13692475,-,2.71,1,0.828,1
Chr1,13693476,-,3.39,1,0.877,1
Chr1,13704262,-,3.34,0.959,0.762,1
Chr1,13704266,-,4.2,1,0.928,1
Chr1,13704327,+,2.85,0.936,0.723,1
Chr1,13704401,+,5.91,1,0.853,1
Chr1,13706587,-,2.76,1,0.711,1
Chr1,13706901,+,3.09,1,1,1
Chr1,13713314,-,4.72,1,0.924,1
Chr1,13718703,-,2.98,0.972,0.79,0.991
Chr1,13720532,+,3.19,1,0.773,1
Chr1,13722426,+,3.51,1,0.793,1
Chr1,13722439,-,2.64,0.992,0.763,0.999
Chr1,13722623,-,4.24,0.991,0.815,1
Chr1,13724901,-,5.26,0.998,0.997,1
Chr1,13727356,+,4.19,1,0.912,1
Chr1,13727366,+,3.3,0.847,0.714,1
Chr1,13730666,+,3.41,1,0.774,1
Chr1,13732664,-,4.09,1,0.845,1
Chr1,13733711,-,6.19,0.991,0.987,1
Chr1,13735943,-,3.32,1,0.768,1
Chr1,13741127,-,1.88,0.304,0.16,0.458
Chr1,13741786,-,3.54,0.994,0.877,1
Chr1,13742843,-,1.77,0.165,0.048,0.269
Chr1,13748113,-,1.96,0.633,0.492,0.734
Chr1,13749387,+,3.6,0.96,0.754,1
Chr1,13753676,+,1.73,0.696,0.576,0.789
Chr1,13756302,-,2.8,1,0.802,1
Chr1,13758867,-,4.32,1,1,1
Chr1,13759856,+,2.73,1,0.766,1
Chr1,13761166,-,4.96,0.985,0.736,1
Chr1,13764648,+,6.05,0.997,0.724,1
Chr1,13764938,+,2.61,1,1,1
Chr1,13773983,+,5.8,0.947,0.707,1
Chr1,13774795,-,4.45,1,0.735,1
Chr1,13779280,-,6.22,1,0.901,1
Chr1,13779640,+,3.72,1,0.726,1
Chr1,13779785,+,6.98,1,0.872,1
Chr1,13785506,-,4.33,1,0.81,1
Chr1,13785840,-,6.26,1,0.809,1
Chr1,13786056,+,2.75,1,0.881,1
Chr1,13792362,-,1.65,0.228,0.102,0.396
Chr1,13794230,-,4.48,0.984,0.752,1
Chr1,13795773,+,2.58,0.996,0.703,1
Chr1,13797457,+,3.09,1,0.904,1
Chr1,13799896,+,4.17,1,1,1
Chr1,13800873,-,4.69,0.94,0.707,1
Chr1,13801812,-,3.41,0.998,0.997,1
Chr1,13803918,-,2.23,0.691,0.619,0.787
Chr1,13805348,-,4.31,1,0.92,1
Chr1,13805504,+,4.08,0.989,0.973,0.994
Chr1,13808372,-,2.65,1,0.983,1
Chr1,13811058,-,3.65,1,1,1
Chr1,13814229,+,5.73,0.99,0.988,0.996
Chr1,13829741,-,3.13,1,0.78,1
Chr1,13829969,+,6.89,1,0.914,1
Chr1,13840891,+,3.9,0.992,0.779,1
Chr1,13842187,+,5.38,1,1,1
Chr1,13842192,-,8.44,1,1,1
Chr1,13844530,-,2.58,1,0.748,1
Chr1,13854448,+,4.14,0.998,0.774,1
Chr1,13857259,+,2.8,1,0.789,1
Chr1,13858220,+,3.99,1,0.784,1
Chr1,13867061,+,4.38,0.996,0.742,1
Chr1,13893238,-,6.04,1,0.869,1
Chr1,13893411,-,4.23,1,1,1
Chr1,13894443,+,5.33,1,0.91,1
Chr1,13895797,+,4.03,0.983,0.866,1
Chr1,13902464,-,2.94,0.985,0.711,1
Chr1,13902694,-,2.9,1,0.849,1
Chr1,13904613,+,9.26,1,0.853,1
Chr1,13909416,+,3.37,1,0.754,1
Chr1,13910350,+,5.73,1,1,1
Chr1,13916989,-,4.67,1,0.78,1
Chr1,13917633,+,7.49,1,0.949,1
Chr1,13920042,+,3.79,1,0.957,1
Chr1,13924281,+,7.16,0.982,0.709,1
Chr1,13924935,-,5.45,0.998,0.895,1
Chr1,13925145,+,5.78,0.937,0.725,1
Chr1,13928596,+,4.51,1,1,1
Chr1,13928958,+,3.19,0.963,0.721,1
Chr1,13931916,+,4.66,1,0.91,1
Chr1,13932045,+,2.8,0.992,0.729,0.998
